Topic,Count,Name,Representation,Representative_Docs
-1,129703,-1_life_interesting course_easy follow_course interesting,"['life', 'interesting course', 'easy follow', 'course interesting', 'presentation', 'informative', 'techniques', 'presented', 'course informative', 'course useful']","[""This course was so much more than I expected it to be! I learnt a lot and I'm excited to put the knowledge I gained into use in my new career path. I highly recommend it for anyone who wants to know more about AW. The only downside is that a lot of the additional resources aren't accessible unless you can buy/rent the books or have access to research papers (if you're in university maybe?). But the actual course content was informative in itself. I look forward to learning from other Uni of Edinburgh animal-related courses :)"", ""This course was very informational. I learned a lot about the oil and gas industry. It was easy to follow and sufficient for understanding key concepts. However, I had a big issue with the final assignment. I submitted it three times. Since it's peer graded it caused quite a lot of trouble. I had some people rate me poorly- by saying I didn't include certain information, when I know that I included all required information. I think that the people reading my submission either didn't comprehend the information, or blatantly didn't read it. This caused me to fail and need to submit a second time. At the time of the second submission my computer glitched and didn't send in the document in pdf form. Three of the four students rated the assignment highly- one student rated it all 0s because it wasn't in pdf format causing me to fail a second time. I've now submitted it a third and am hoping for it to be accepted... Overall it has been very frustrating. Good content. Frustrating final assignment that you NEED to pass to earn your certificate."", 'This was really good. Well paced and thought out. Paid attention to explaining the underlying fundamentals of math as well as the required Python programming elements. Important intuitions on how things work were useful for understanding the greater scheme of things. Also enjoyed the weekly ""Heroes of Deep Learning"" videos. I completed the inaugural cohort of another online deep learning course and whilst it covered a lot of great material and current research in a short time the pacing was often too fast and as a complete beginner I was a little overwhelmed; feeling like I was always missing key concepts. I also found that Andrew Ng\'s videos contained less about personality and hype and felt like they were on a more personal level than some kind of mass market video. I definitely feel like I\'ve learned something useful and I look forward to the other courses in this specialisation.']"
0,11452,0_learn python_python_python programming_python course,"['learn python', 'python', 'python programming', 'python course', 'learning python', 'basics python', 'course python', 'introduction python', 'programming python', 'python language']","['This is THE best course for beginners. I love the way Dr. Chuck has taught Python programming. His lectures are very interesting and easy to understand and the entire course has been a lot of fun with all its quizzes and programming assignments. His book is as great as are his lectures. I am looking forward to learning more about python through his courses. This is just the type of course that I was wanting to do for some time and I am lucky I found this through Coursera! Thank you Dr. Chuck!', 'A great introduction to basic programming concepts and Python language. The instructor, Dr Chuck, is really good and explains the concepts in a manner easy to understand even for beginners. For me, personally, the bonus material was the most interesting with the expert interviews (look out for the talk with the inventor of Python). The short videos of other Coursera students meeting Dr Chuck helped me feel connected to the student community. Overall, a must-do course if you want to learn programming in Python.', 'Dr. Charles Severance is an excellent teacher and I got to know about how to start my journey of Python, which was made easy by this useful course Python for Everybody, which literally is ""Python for Everybody"". In today\'s world I would recommend everyone to take up this course and surge ahead. Thank you very much Dr. Charles Severance.']"
1,7203,1_machine learning_machine_course machine_learning algorithms,"['machine learning', 'machine', 'course machine', 'learning algorithms', 'introduction machine', 'learn machine', 'algorithms', 'ng', 'concepts machine', 'andrew ng']","[""This is a truly superb class. Professor Andrew Ng's lectures are clear, well-organized, and exceptionally informative. He's more than a brilliant researcher: he does a terrific job of presenting complex machine learning concepts in simple terms that a very easy for anyone to understand as well. I would add that the programming assignments are also very useful because they focus on core concepts and really help to reinforce the lectures. All around this is easily one of the best and most valuable courses I have ever taken, and I would be very quickly to recommend this course to any friend without reservation. Whether you're actively working with machine learning systems as I am or hoping to get into the field or merely curious, Andrew Ng's machine learning class is a very valuable class that covers the essentials and covers them very thoroughly."", 'This course covers a wide variety topics in Machine Learning, from simple linear regression, logistic regression to neural network and support vector machine. It also covers basic unsupervised learning topics in clustering and dimensional reduction. This course also provides some guidances on practical machine learning such as parameters tuning , determinization of data overfitting/underfitting, basic large scale training and speed up issues, and provides some practical applications in machine learning.', ""Excellent course after the 'Machine Learning'-course of Andrew Ng!""]"
2,7024,2_data science_science_data scientist_scientist,"['data science', 'science', 'data scientist', 'scientist', 'introduction data', 'data', 'science good', 'course data', 'data scientists', 'science course']","['Good course to understand Data science and Data scientist', 'I do not having any background of Data Science but after go through this course I am having a good understanding about what is data science,what skills are needed to become data scientist etc.Additionally, clear all my confusions .Now I am aware about the correct path to learn data science,also what qualities are required to become a Data Scientist i am also aware about that.A very good experience i had about data science after go through this course.All real life scenarios are discussed and real life experiences are shared by various data scientist.Excellent course with a very good content for beginners who do not anything about data science.If anyone is having a little bit knowledge about data science then after going through this course you should know what are the areas in which you can improved, a correct path to build a carrier in data science.', 'It provides a very good introduction on what Data Science is and what a Data Scientist do!']"
3,5681,3_video_videos_course videos_videos short,"['video', 'videos', 'course videos', 'videos short', 'video lectures', 'videos great', 'videos good', 'videos really', 'short videos', 'short']","['Learning how to learn is an important concept that we don\'t spend enough time thinking about. This course teaches you a bit about the science of learning based on psychological and neuroscientific research, as well as the experiences of educators. It also provides a number of helpful tips that can assist you in understanding and memorizing new concepts in any field. However, I think this course has more ""filler"" than necessary. Some videos will spend 6 minutes making one or two good points that could be made in a minute and half. Personal anecdotes, redundancy, theories behind why certain techniques in learning work the way they do, etc. contribute to this ""filler."" It\'s not that I don\'t find some of this stuff interesting, but when I start a video, I want to focus on the fresh subject of that particular video and how it will help me learn. The personal anecdotes and theorizing would fit better in the ""optional material"" section. The redundancy is entirely unnecessary and is actually a bit like ""rereading"" in a way, which is a point the course teaches you is ineffective. Make your point clearly, then test us to see if we understand it. It does not need to be rehashed throughout the course. Further examples and explanation can be provided in the ""optional material"" section if people want to read more about it.Secondly, quizzes should be more difficult. They contribute to an ""illusion of confidence,"" which is another concept that the course itself discusses and urges you to avoid. I honestly feel that many of the questions have such common sense answers that I could\'ve skipped several videos altogether and still passed some units. They could be designed better to see if people genuinely understand the perspectives and techniques that this course offers.Despite my critiques that this course would benefit from some sharpening of the lectures, and more difficult questions, I enjoyed it, and am glad I took it. I feel that I have more guidance in how to approach my learning effectively.', ""Even though this course covers a lot fundamentals for introduction to algorithm, the course itself is not designed as good as I expected. For starters, the weekly problem designs aren't very good. Some problem statements are ambiguous and not very clear unless you read more than one time or take a closer look at the examples. Often, the input format/arguments are designed to take redundant info. Some problem even has more than one possible correct outputs, which is just confusing for learning purpose.In terms of lecture videos, it's good that there are some classic algorithm problems being demonstrated in the video, however the linkage between how to express a problem in mathematical languages is poorly explained. For example, in the lecture of edit distance, the realization of the matrix was not well explained at all. I personally appreciate a lot of the thorough proving steps introduced in the lectures, however I personally think the proofs are often not well explained to the audience (I also understand that it's more difficult to explain proving steps). Considering the large variety of audience, I would recommend the instructors separate the comprehensive more in-depth knowledge into optional videos, in this way the audiences could decide if they want to spend time in optional videos or not based on their own needs, meanwhile the instructors could spend a little bit more time to explain the difficult concepts better. Overall, I know that talking and analyzing algorithms can be kinda of boring and challenging, but I wish the course videos could be stated in a more interesting and intriguing way."", ""W. Scott Persons is a spectacular presenter. He speaks clearly and articulates himself in such a way that he can explain a complex subject in an easy-to-understand way. He doesn't speak too quickly nor too slowly. If anyone wants to be a better presenter, they should follow the example of Persons.I like the questions being asked during the video. Sometimes they are just to make sure you are paying attention, but most times they require you to make inferences based on what you have learned, which is great. If you complete the reading material before watching the videos, you should have no problem at all answering the video questions.The reading material is extremely in-depth and very informative even beyond what the videos offer. One complaint I have would be that the estimated time of completion for the reading is inaccurate. They say it takes about 10 minutes but if you want to actually read and get a good grasp of all of the material presented in the notes, it will take far longer. Personally, it takes me several hours to consolidate the material in my head and to take notes. Like I said, the reading goes very in-depth.The reading material also uses anatomical terms of location very frequently. I would recommend learning the anatomical terms of location (rostral, caudal, distal, proximal, etc.) to assist you while you read the notes. Also take some time to learn how to interpret cladograms. One thing that stands out to me is the Tree of Life, which is basically an interactive learning objective that shows how ALL life to have ever existed on this planet is connected. It is an AMAZING supplement to the course and a lot of fun to explore. Overall, I HIGHLY recommend this course to anyone interested in dinosaurs; paleontology as a whole; evolution and phylogenesis; and ornithology.""]"
4,5130,4_teachers_teacher_great teacher_teacher great,"['teachers', 'teacher', 'great teacher', 'teacher great', 'teaching', 'way teaching', 'great teachers', 'excellent teaching', 'course teacher', 'excellent teacher']","['Great teachers and great course!', 'Great teacher and great course', 'Great Teacher and great teaching style!! Very happy!! Very professional approach!! A true teacher!! Love you Sir!! Want to learn more from you!!']"
5,4439,5_programming_programming course_new programming_learn programming,"['programming', 'programming course', 'new programming', 'learn programming', 'programming language', 'programming assignments', 'course programming', 'programming skills', 'programmer', 'programming background']","[""A real starter course for simple programming. i, with no idea on programming, decided to try this course. this was my first coursera course. i got to say, it really is the starter. i really recommend this for people who want to program, but dont know where to start. the course is made in a very fun way. i am 10 years old and i loved this. tells you the basics of programming, teaches you programming in scratch. do this course before any other programming one. it'll seriously help you"", ""The course is extremely easy, even for those with no programming background like myself, but I suspect this is on purpose: it helps dispel anxieties and build confidence, so that students feel encouraged to continue with the specialization or seek out more advanced individual courses. I know that I found myself creating more complicated versions of the assignments and looking up ways to make them work, but that's a good thing: it's important for a course to spark curiosity and invite experimentation. Obviously, you need to keep your expectations in check: you won't turn into a professional programmer at the end of one easy course or specialization. However, you can start figuring out how to automate some of your own work or how to talk to programmers if you're working on a project together. As a bonus, Dr. Severance explains things very clearly and is quite enjoyable to watch, which was a nice change from other MOOCs I've taken before. I'm only giving it four stars because I think there should have been more assignments, as well as a mechanism to discourage plagiarism (it was obvious to me that some participants copied their code from various online sources, which is partly why they couldn't figure out why it didn't work or didn't produce the correct output)."", 'To say this course is for beginners is a misnomer. I think if one has some familiarity with another programming language then yes - this could be a beginner course. I came into this course with zero formal programming knowledge and was completely overwhelmed by the pace and material. This course does not give the students any/enough ""small wins"" to build muscle memory and gain confidence. I was drawn in by assumed time for completion. 4-8 hours/week sounded pretty good for the schedule of a working adult, however the 10-minute ""assignments"" consistently took me 6+ hours (most of the time spent calling/screen-sharing with my developer friend for help). Again, I think if one already has some programming knowledge (and therefore not *really* a \'beginner\') then yes, this would probably take them that amount of time. I folded almost at the end of week 2. To echo another review here, it seems the instructors forgot what it is like to be a beginner. The instructors assume too much about what their students know. Really kicking myself for spending the money trying to limp through this course.If you are like me and starting without any experience, there are plenty of alternative free material actually geared towards \'beginners\' that will give you the context and practice needed to actually comprehend the course material.']"
6,4390,6_excel_excel course_excel skills_using excel,"['excel', 'excel course', 'excel skills', 'using excel', 'course excel', 'use excel', 'knowledge excel', 'basic excel', 'pivot', 'skills excel']","['I am familiar with using Excel, however, I want to take the Specialization module, and I have to finish this Essentials course first. So this is a review from an intermediate Excel user.1) After taking the course, I actually know more tips to use Excel faster.2) The lecture videos are very informative and easy to follow. I always put a 1.75x speed on :) (Not sure whether the lecturer was too slow or I were too fast). And they also have subtitles. If English is not your native language, or your listening skill is not advanced, you can watch the subtitles while following the lectures.3) This course is easy to me. Once again, it only delivers the basics, and for beginners. 4) The course provides you with all the materials needed, and a summary of short-cuts and lectures in a week. 5) I can finish this course in 2 days. So I hope that it could be more challenging. To sum up, it is a nice experience :)', 'I learned a lot about excel. This course is really helpful', 'This course is great and really simple to use. However, if you have a MAC this course can be a little tricky at times as it is mainly developed for PC users. For some more complicated functions such as creating Pivot Charts, there is no mention of how to achieve things using an older version of Excel for MAC and so often a google search is needed which can be time consuming and sometimes leave you with no answers. It would be wonderful if the course was more clearly adapted for MAC users, mentioning clearly how things can be done using a MAC as often this is entirely different and/or non existent. It is the same thing with earlier versions of excel, for example, my 2011 MAC version of excel did not have the Pivot Chart function and in the quizzes you needed this in order to answer some questions correctly - in many cases I had to leave the question blank and hope I could pass with my other questions being correct. This was quite frustrating at times and seemed a little unfair also - it would be great if this was more suitable for MAC users too.']"
7,4293,7_instructors_instructor_course instructor_great instructor,"['instructors', 'instructor', 'course instructor', 'great instructor', 'instructor good', 'great instructors', 'instructor great', 'course instructors', 'instructors great', 'good instructor']","['Awesome course and great instructor.', 'Amazing Course and great instructor', 'very informative course.instructor is very good']"
8,4259,8_ai_ai course_artificial intelligence_artificial,"['ai', 'ai course', 'artificial intelligence', 'artificial', 'intelligence', 'course ai', 'learn ai', 'ai good', 'introduction ai', 'learning ai']","['This course gave me an abstract view of AI as well as a realistic view of AI i.e. a high level sense of what AI can and can not do. So, for someone who is first trying to understand what is AI all about, what are the key tools of AI i.e. Machine Learning including Deep Learning and Data Science, this course provides a right perspective. It also mentions good case studies about complex AI products as well as the roles and responsibilities of large AI teams. AI transformation playbook will be really helpful for companies to get the feel of AI and strategies it for the right future of AI in their company. Finally there is a good perspective on how AI can impact society and how we can navigate the rise of AI in future. The course finally teaches us to keep learning to build knowledge. Great foundational course and very well narrated by professor Andrew Ng.', 'It is a very good introductory and non technical course on artificial intelligence and it has given me insight of what AI is and what is impact of AI on society.', 'Thanks to Andrew Ng for teaching AI for everyone. I can see the overview of artificial intelligence now.']"
