topic_id,rank,word,weight
0,1,learn python,0.19526184184735912
0,2,python,0.19267659359786568
0,3,python programming,0.19259397303105671
0,4,python course,0.1797952558600975
0,5,learning python,0.17579830187392947
0,6,basics python,0.17363924782698129
0,7,course python,0.16432507678611752
0,8,introduction python,0.15646157322701915
0,9,programming python,0.15483329027854265
0,10,python language,0.14395386316993355
1,1,machine learning,0.21366350694845143
1,2,machine,0.2099269963820673
1,3,course machine,0.16650917820857344
1,4,learning algorithms,0.16099759074512676
1,5,introduction machine,0.1595670831719513
1,6,learn machine,0.15321463534458038
1,7,algorithms,0.14969098832949113
1,8,ng,0.13698717189019732
1,9,concepts machine,0.13382962936613282
1,10,andrew ng,0.1331025181630124
2,1,data science,0.3050997658833267
2,2,science,0.2559664976824378
2,3,data scientist,0.2501365080176199
2,4,scientist,0.239393490583857
2,5,introduction data,0.23901244657452228
2,6,data,0.22232362922073234
2,7,science good,0.2145898121454031
2,8,course data,0.19940627150623869
2,9,data scientists,0.19620238556559988
2,10,science course,0.19566332703582787
3,1,video,0.1834615181500103
3,2,videos,0.17621024070080574
3,3,course videos,0.156457527117804
3,4,videos short,0.14429810768156562
3,5,video lectures,0.13041079359408497
3,6,videos great,0.126584780512841
3,7,videos good,0.118750921997451
3,8,videos really,0.1183386939659411
3,9,short videos,0.11684289004158434
3,10,short,0.11525904434313616
4,1,teachers,0.266795982966937
4,2,teacher,0.25204399922532744
4,3,great teacher,0.22193122599527046
4,4,teacher great,0.21886317264568655
4,5,teaching,0.21366890135709166
4,6,way teaching,0.21027921153394558
4,7,great teachers,0.20675376424530517
4,8,excellent teaching,0.20566841910700434
4,9,course teacher,0.20179873575575635
4,10,excellent teacher,0.19270823009924887
5,1,programming,0.19063990642531933
5,2,programming course,0.17644616330072682
5,3,new programming,0.16788848284526453
5,4,learn programming,0.1669407448102241
5,5,programming language,0.1654103043783545
5,6,programming assignments,0.1636156754917306
5,7,course programming,0.15453169646473203
5,8,programming skills,0.1512568097916033
5,9,programmer,0.15033478915736215
5,10,programming background,0.1497673815268623
6,1,excel,0.4133289109282416
6,2,excel course,0.26481523688851677
6,3,excel skills,0.2643041474911705
6,4,using excel,0.23556339669818274
6,5,course excel,0.2196093423291508
6,6,use excel,0.21045258451810944
6,7,knowledge excel,0.20080047492994113
6,8,basic excel,0.19552862697176174
6,9,pivot,0.18881264519585408
6,10,skills excel,0.17241048469555212
7,1,instructors,0.27059972142621397
7,2,instructor,0.25162357989030154
7,3,course instructor,0.2401128312524329
7,4,great instructor,0.23825890287427445
7,5,instructor good,0.21779097533130656
7,6,great instructors,0.21380759136592434
7,7,instructor great,0.21128478263526593
7,8,course instructors,0.20695681749968695
7,9,instructors great,0.1953051535383999
7,10,good instructor,0.1875809443983662
8,1,ai,0.43483803964318646
8,2,ai course,0.25724330329683426
8,3,artificial intelligence,0.2567829646335173
8,4,artificial,0.25542567015051776
8,5,intelligence,0.25095297669376077
8,6,course ai,0.23050245120680335
8,7,learn ai,0.23017295414819572
8,8,ai good,0.22517842676625086
8,9,introduction ai,0.223905872554643
8,10,learning ai,0.2030210757151098
9,1,professors,0.24445850869830058
9,2,professor great,0.23329346958529876
9,3,professor,0.2265009930492575
9,4,great professor,0.22460526050530594
9,5,course professor,0.20991719720085023
9,6,excellent professor,0.19646867817295788
9,7,professor excellent,0.19423941072686204
9,8,professor really,0.18491768888735988
9,9,professor good,0.18483027356210655
9,10,professor professor,0.17904221567879722
10,1,course coursera,0.24115356343362343
10,2,coursera,0.23683166420756213
10,3,coursera best,0.2310124670411728
10,4,courses coursera,0.20904698169236893
10,5,thank coursera,0.1987403271674833
10,6,thanks coursera,0.19764056606246302
10,7,taken coursera,0.19721298117341066
10,8,learning coursera,0.18609120294020295
10,9,coursera thank,0.184266540203729
10,10,coursera course,0.1827424751697482
11,1,quiz,0.27508196506398525
11,2,quizzes,0.2272639038894842
11,3,quiz questions,0.21796602112462618
11,4,answers,0.20853728638965247
11,5,questions,0.19851617543882094
11,6,answer,0.1855685067052172
11,7,quizes,0.17698085233064184
11,8,wrong,0.16029577723604857
11,9,exam,0.1599117414679542
11,10,correct,0.158324447176964
12,1,assignment,0.22270013861112573
12,2,course assignments,0.22044801349979687
12,3,final assignment,0.20334530505266685
12,4,assignments,0.20040546919383082
12,5,assignments really,0.17856489400220008
12,6,challenging assignments,0.17370337851498055
12,7,homework,0.17125459251648245
12,8,good assignments,0.16935256925412073
12,9,assignments good,0.16801200394117094
12,10,assignments challenging,0.16309983886378615
13,1,food,0.42476224580165267
13,2,nutrition,0.3859934139241907
13,3,healthy,0.34813618357711085
13,4,eating,0.3303802558762055
13,5,cooking,0.31546458662701266
13,6,eat,0.30953399517770097
13,7,recipes,0.2989458339214171
13,8,diet,0.29055512039113385
13,9,maya,0.28352663921326016
13,10,food health,0.2645345661817658
14,1,deep learning,0.3621430108285745
14,2,deep,0.3041170114609482
14,3,networks deep,0.23533137043863672
14,4,deep neural,0.23337631377506154
14,5,course deep,0.221576217265917
14,6,neural,0.21447152179454668
14,7,neural networks,0.20756125722596516
14,8,networks,0.20277462737786553
14,9,introduction deep,0.20235837004921348
14,10,neural network,0.19409283536104974
15,1,ml,0.3584308756352962
15,2,ml course,0.22245130169077612
15,3,ml algorithms,0.20239172368776293
15,4,course ml,0.19726344161445192
15,5,ml projects,0.18782044130928058
15,6,introduction ml,0.18129921232298948
15,7,ml project,0.17990766368521316
15,8,ml concepts,0.1710637825132096
15,9,learn ml,0.16716989009381633
15,10,learning ml,0.16212221649763983
16,1,course beginners,0.36433355471906187
16,2,course beginner,0.3200124081282074
16,3,beginners,0.2971147150759922
16,4,beginners good,0.2847889872211305
16,5,beginners course,0.27767859096675546
16,6,beginner,0.26950527240886585
16,7,beginners great,0.26625543610218255
16,8,beginner course,0.2529032996388848
16,9,beginners excellent,0.22418442472702715
16,10,beginner good,0.22289724014815793
17,1,labs,0.4647735584672372
17,2,lab,0.4105947388114824
17,3,course labs,0.2511977536693781
17,4,labs great,0.24794765670631622
17,5,labs good,0.2330018090703894
17,6,hands labs,0.21855463463570765
17,7,good labs,0.2171579005287444
17,8,lab sessions,0.21204666043830603
17,9,labs really,0.207316365469841
17,10,labs course,0.1984080798202953
18,1,english,0.34318712255141925
18,2,pronunciation,0.2932385521026095
18,3,speaking,0.2608313376259893
18,4,improve english,0.24565322668554698
18,5,public speaking,0.23536951082251012
18,6,english language,0.21098950270941474
18,7,teaching english,0.20957341655211217
18,8,speak english,0.20784492018994283
18,9,language,0.20736263292381077
18,10,english skills,0.20077056130763002
19,1,lectures,0.27656756586936715
19,2,course lectures,0.2273884174157019
19,3,lecture,0.22300218754877785
19,4,lectures good,0.2169017953039665
19,5,lectures great,0.21106167587167735
19,6,great lectures,0.20590633697148095
19,7,good lectures,0.20296377260225326
19,8,lectures lectures,0.20188074137448508
19,9,lectures clear,0.19086590082646482
19,10,lectures really,0.1843421752288126
20,1,korean,0.5573764322080117
20,2,yonsei,0.3077142661019866
20,3,kang,0.2952429362272825
20,4,yonsei university,0.2876401630071896
20,5,seung,0.2626680533962673
20,6,hae,0.2591092458738361
20,7,seung hae,0.2547814841530226
20,8,korea,0.24983871758048118
20,9,hae kang,0.24826310877180455
20,10,language,0.2184403911093355
21,1,finance,0.41830811402685075
21,2,financial,0.3777525050281817
21,3,markets,0.3647000500759826
21,4,corporate finance,0.3175253503675641
21,5,corporate,0.28795939819825217
21,6,financial market,0.25063655750324504
21,7,finance course,0.22529266001887105
21,8,market,0.21331131066642092
21,9,course finance,0.20051897983256853
21,10,understanding financial,0.19994523272675271
22,1,chuck,0.4582089785285942
22,2,dr chuck,0.44931788347174256
22,3,drchuck,0.34935570607920247
22,4,chuck great,0.3091800577022319
22,5,dr,0.28912201689153977
22,6,course dr,0.27754948514408173
22,7,chuck awesome,0.2659780328687245
22,8,chucks,0.2557805450756087
22,9,chuck best,0.2456254713946802
22,10,chuck amazing,0.23879778774839608
23,1,online,0.3336962656256975
23,2,online course,0.3261014788469287
23,3,best online,0.29410488243799704
23,4,online teaching,0.27984606663380646
23,5,online courses,0.27254354844715173
23,6,online learning,0.24047985193739987
23,7,course online,0.1989663961603635
23,8,teaching online,0.19830888961912263
23,9,teach online,0.18727046851459003
23,10,experience online,0.18507557874483235
24,1,certificate,0.5014534786775962
24,2,certification,0.2758559918044574
24,3,course certificate,0.2743076240031098
24,4,certificate course,0.2606207320956757
24,5,certificates,0.23261932572485036
24,6,receive certificate,0.23234020859474544
24,7,pay,0.23152687331528352
24,8,free,0.22090311088446285
24,9,certificate free,0.2160490920659712
24,10,free certificate,0.21343417096647432
25,1,happiness,0.4395986468364267
25,2,wellbeing,0.3586725511415357
25,3,happier,0.29152669606481524
25,4,science wellbeing,0.25973604229563074
25,5,increase happiness,0.2127414119203549
25,6,make happy,0.21025514185958247
25,7,habits,0.20731853210057874
25,8,makes happy,0.19541357487790245
25,9,happier life,0.19321853161454355
25,10,rewirement,0.19286632318555447
26,1,rstudio,0.28863418420326015
26,2,github,0.24884294856396094
26,3,swirl,0.19866698070375563
26,4,git,0.15363418481292043
26,5,peng,0.150416413884036
26,6,swirl exercises,0.14902774219001091
26,7,introduction programming,0.1457832938683518
26,8,studio,0.14555305688940137
26,9,programming course,0.13637170901981696
26,10,markdown,0.13100604278089664
27,1,exercises,0.3412745919871247
27,2,exercise,0.28180650649624084
27,3,exercises great,0.26021876790212867
27,4,practical exercises,0.25686387287926876
27,5,exercises good,0.24793253759246253
27,6,course exercises,0.247411364995411
27,7,good exercises,0.24652135896898947
27,8,practice exercises,0.2363915253113759
27,9,excercises,0.2297055257954675
27,10,exercises really,0.2198374625183097
28,1,ng,0.30482037435082443
28,2,andrew ng,0.29958370257425837
28,3,andrew,0.22870427008888705
28,4,prof ng,0.21961550873789493
28,5,ng great,0.2193068402187481
28,6,professor ng,0.2172211487975993
28,7,course andrew,0.20189561204829728
28,8,prof andrew,0.1946299931535556
28,9,ngs,0.19328793815633305
28,10,dr ng,0.1894200350715103
29,1,neural,0.39742299495879985
29,2,neural networks,0.375171877286439
29,3,networks,0.35841134447785894
29,4,neural network,0.3547903790831194
29,5,network,0.3191813982074097
29,6,introduction neural,0.25448767514384435
29,7,understanding neural,0.2391695656226174
29,8,neural nets,0.2253431496576048
29,9,course neural,0.22162211267425894
29,10,nets,0.21798805670034144
30,1,writing,0.4102511561555834
30,2,writing skills,0.3439037165746845
30,3,essay,0.3206776557672902
30,4,plot,0.2989150498870335
30,5,improve writing,0.29881313322931985
30,6,creative writing,0.27638591841918964
30,7,writer,0.271843093500844
30,8,essay writing,0.26511369338174795
30,9,writing course,0.259337961754012
30,10,essays,0.2387000091584987
31,1,gcp,0.6955318869557522
31,2,services,0.29478042776673274
31,3,gcp course,0.28777065601489377
31,4,infrastructure,0.24455131636591879
31,5,cloud,0.22705891838444098
31,6,offerings,0.2217186344053347
31,7,products,0.21191981627055267
31,8,core infrastructure,0.20551696624336738
31,9,labs,0.20508729514040433
31,10,core services,0.19183166599268783
32,1,support,0.3376917669496126
32,2,support specialist,0.3136732467761668
32,3,specialist,0.3030630105069168
32,4,support great,0.21186967647512642
32,5,introduction support,0.2092677332387579
32,6,course support,0.20824377117404183
32,7,fundamentals support,0.19679235854836416
32,8,support role,0.19084358094579837
32,9,technical support,0.1878411295271928
32,10,career support,0.18509886657463615
33,1,mooc,0.49734495611206725
33,2,moocs,0.3729341681434963
33,3,best mooc,0.29686339962245656
33,4,great mooc,0.2328610633207783
33,5,mooc course,0.2210891880123656
33,6,mooc ive,0.19805488886817893
33,7,mooc taken,0.19010352191958121
33,8,mooc really,0.18558586232983987
33,9,moocs ive,0.17800213303257914
33,10,mooc courses,0.17373124596395154
34,1,tensorflow,0.5493325011303595
34,2,keras,0.3391983211858981
34,3,tensor,0.31124703104220597
34,4,introduction tensorflow,0.30593534335633044
