normalization,threshold,n_valid,flagged_share,mean_score,median_score
raw,0.3,365697,0.1176,0.1151,0.0004
raw,0.4,365697,0.1137,0.1151,0.0004
raw,0.5,365697,0.0746,0.1151,0.0004
raw,0.6,365697,0.0716,0.1151,0.0004
raw,0.7,365697,0.0661,0.1151,0.0004
raw,0.8,365697,0.0251,0.1151,0.0004
rank,0.3,365697,0.8872,0.4137,0.3815
rank,0.4,365697,0.1583,0.4137,0.3815
rank,0.5,365697,0.1549,0.4137,0.3815
rank,0.6,365697,0.1455,0.4137,0.3815
rank,0.7,365697,0.1283,0.4137,0.3815
rank,0.8,365697,0.1235,0.4137,0.3815
zscore,0.3,365697,0.2374,0.1823,0.0296
zscore,0.4,365697,0.2333,0.1823,0.0296
zscore,0.5,365697,0.2145,0.1823,0.0296
zscore,0.6,365697,0.0986,0.1823,0.0296
zscore,0.7,365697,0.0888,0.1823,0.0296
zscore,0.8,365697,0.0394,0.1823,0.0296
binary,0.3,351061,0.0856,0.0819,0.0003
binary,0.4,351061,0.0829,0.0819,0.0003
binary,0.5,351061,0.0806,0.0819,0.0003
binary,0.6,351061,0.0784,0.0819,0.0003
binary,0.7,351061,0.0759,0.0819,0.0003
binary,0.8,351061,0.0727,0.0819,0.0003
