topic_a,topic_b,n_a,n_b,U,p_uncorrected,rank_biserial_r
0,1,11452,7203,48173119.5,2.1149701164449917e-83,-0.168
0,2,11452,7024,42425469.0,3.6479200906981803e-10,-0.0549
0,3,11452,5681,27396985.0,1.2519025135187704e-63,0.1578
0,4,11452,5130,45236386.0,0.0,-0.54
0,5,11452,4439,26181138.0,0.0032580777999949195,-0.03
0,6,11452,4390,30836267.5,1.9790402591618607e-108,-0.2267
0,7,11452,4293,36863653.5,0.0,-0.4996
0,8,11452,4259,27389963.0,1.4509897122604318e-32,-0.1231
0,9,11452,4247,37250769.5,0.0,-0.5318
0,10,11452,3952,31867534.5,0.0,-0.4083
0,11,11452,3748,11681293.0,0.0,0.4557
0,12,11452,3682,16149044.0,1.469475560940448e-101,0.234
0,13,11452,3226,19966457.5,2.0711996886580174e-12,-0.0809
0,14,11452,2959,20936141.5,3.442575801965221e-87,-0.2357
0,15,11452,2824,15803486.5,0.06153629553163028,0.0227
0,16,11452,2809,17649003.0,1.2227392235259236e-15,-0.0973
0,17,11452,2730,12643315.0,1.6532907305276728e-54,0.1912
0,18,11452,2581,16727723.0,1.041290090373663e-25,-0.1319
0,19,11452,2496,14808382.0,0.004620804616742278,-0.0361
0,20,11452,2401,16529928.5,5.917266896610931e-55,-0.2023
0,21,11452,2144,13259443.0,3.7961247733222215e-09,-0.0801
0,22,11452,2094,17687969.5,9.21036216577279e-263,-0.4752
0,23,11452,2059,14959428.0,2.799696713150302e-84,-0.2688
0,24,11452,1990,7577537.0,3.868701433348975e-126,0.335
0,25,11452,1979,15654995.5,3.0196875249728815e-162,-0.3815
0,26,11452,1882,8565111.5,2.594590519068537e-46,0.2052
0,27,11452,1838,9693167.0,5.211002614017498e-08,0.079
0,28,11452,1810,14936201.0,1.909651213364735e-200,-0.4412
0,29,11452,1636,9883062.5,0.00031233390917572253,-0.055
0,30,11452,1614,10783011.5,1.7142791034590224e-27,-0.1668
0,31,11452,1517,8264630.0,0.002087221740216608,0.0485
0,32,11452,1493,9913705.5,9.292887113400097e-24,-0.1596
0,33,11452,1491,10302616.0,1.124628885648359e-38,-0.2068
0,34,11452,1491,6126488.5,1.3148475205712974e-70,0.2824
0,35,11452,1482,8304621.0,0.18008406575224856,0.0214
0,36,11452,1390,10319826.0,4.093197032346136e-73,-0.2966
0,37,11452,1385,13148263.0,0.0,-0.6579
0,38,11452,1370,6750491.5,2.909980551950344e-17,0.1395
0,39,11452,1349,7559502.5,0.1990547286861779,0.0213
0,40,11452,1319,8626515.5,2.459262538184066e-17,-0.1422
0,41,11452,1314,8401897.0,3.961333106726318e-12,-0.1167
0,42,11452,1313,5906165.5,3.2806935433907504e-37,0.2144
0,43,11452,1310,8252223.5,2.7369167627705353e-09,-0.1001
0,44,11452,1287,6696758.0,7.576288746160822e-08,0.0913
0,45,11452,1280,2787327.5,2.1688606647716595e-290,0.6197
0,46,11452,1257,10366473.0,2.9846551160242258e-145,-0.4403
0,47,11452,1216,6484557.5,8.002034137074403e-05,0.0687
0,48,11452,1214,9668610.5,1.998419453064012e-111,-0.3909
0,49,11452,1213,8959621.0,4.0584642018321745e-62,-0.29
0,50,11452,1197,7401636.5,5.227124381621374e-06,-0.0799
0,51,11452,1186,7313703.5,1.2427570884848493e-05,-0.077
0,52,11452,1173,11000154.5,2.767960489331354e-284,-0.6378
0,53,11452,1163,7405918.0,2.804543070428702e-10,-0.1121
0,54,11452,1148,6439123.0,0.25294514944533253,0.0204
0,55,11452,1128,8578177.0,4.2674115825746334e-74,-0.3281
0,56,11452,1126,6359170.5,0.4475375914832965,0.0137
0,57,11452,1056,6142047.5,0.3955479411666474,-0.0158
0,58,11452,1049,8434899.5,1.8016437884738552e-104,-0.4043
0,59,11452,1049,8568781.5,4.367063217351811e-116,-0.4266
0,60,11452,1034,6637346.5,1.0738536358845255e-10,-0.121
0,61,11452,1021,6930639.5,7.873832845400758e-23,-0.1855
0,62,11452,1005,6286680.5,1.1308769029674598e-06,-0.0925
0,63,11452,1000,7673579.5,2.201139215469346e-71,-0.3401
0,64,11452,995,6677063.0,2.0397645673542456e-19,-0.172
0,65,11452,964,5212060.5,0.003978134884388978,0.0558
0,66,11452,963,5562228.0,0.6525731580230614,-0.0087
0,67,11452,950,7825730.5,4.0634522984827413e-112,-0.4386
0,68,11452,943,3482748.5,1.3145136645290181e-73,0.355
0,69,11452,933,4435530.5,5.866880981840791e-18,0.1697
0,70,11452,927,6232427.5,1.0166015000429115e-18,-0.1742
0,71,11452,923,5241154.5,0.6738495206702639,0.0083
0,72,11452,911,6979423.5,7.560353074668022e-65,-0.338
0,73,11452,911,6328212.0,7.871875146229941e-27,-0.2131
0,74,11452,909,4413757.5,2.171209366011364e-14,0.152
0,75,11452,908,7861026.0,7.118167989381518e-146,-0.512
0,76,11452,876,6772751.5,4.377365311790034e-67,-0.3502
0,77,11452,853,5866491.0,9.85244375009208e-23,-0.2011
0,78,11452,836,4562550.5,0.023444206469222826,0.0469
0,79,11452,835,4424742.0,0.0003153517838439401,0.0746
0,80,11452,829,6847081.0,9.962508337883158e-101,-0.4424
0,81,11452,819,5506652.5,7.265334972600637e-17,-0.1742
0,82,11452,805,4237115.5,0.00012472672331950203,0.0808
0,83,11452,803,1939802.0,1.2555393489059887e-165,0.5781
0,84,11452,803,5590503.5,1.2935276079438314e-24,-0.2159
0,85,11452,777,4056224.0,3.6982649600181046e-05,0.0883
0,86,11452,775,4878765.0,3.5103452235193455e-06,-0.0994
0,87,11452,764,4473696.5,0.2940435411276767,-0.0226
0,88,11452,759,3678055.0,1.2270989308537695e-12,0.1537
0,89,11452,744,4762145.0,6.876247780883167e-08,-0.1178
0,90,11452,719,4864547.5,2.8414432399120495e-16,-0.1816
0,91,11452,707,4334780.0,0.001561714211634679,-0.0708
0,92,11452,705,2685848.0,1.8829899633726096e-50,0.3347
0,93,11452,705,4146508.5,0.2252547071920934,-0.0272
0,94,11452,693,3165041.0,3.2373117887476145e-19,0.2024
0,95,11452,686,3491183.5,9.564586991583546e-07,0.1112
0,96,11452,685,4379246.0,2.9031275319673843e-07,-0.1165
0,97,11452,678,2861627.0,1.0492991516493975e-30,0.2629
0,98,11452,670,3804734.0,0.7189304524320483,0.0083
0,99,11452,662,5113897.0,1.0980263178741919e-51,-0.3491
0,100,11452,655,4574040.0,2.9105537508989514e-21,-0.2196
0,101,11452,644,6669597.5,4.296479104792436e-262,-0.8087
0,102,11452,640,3716126.5,0.5491220391131071,-0.014
0,103,11452,629,3818410.5,0.010920702911311699,-0.0602
0,104,11452,626,4531347.0,7.449209228341226e-29,-0.2642
0,105,11452,625,3331481.5,0.003576681149622429,0.0691
0,106,11452,621,3415402.5,0.09686018294825252,0.0395
0,107,11452,615,3445176.0,0.36452956023292893,0.0217
0,108,11452,610,4338073.0,6.364788242209473e-24,-0.242
