topic,n,mean,median
0,11452,0.10642351447005162,0.0005928874015808105
1,7203,0.06876551473899672,0.00034165382385253906
2,7024,0.10302667351650656,0.0004786252975463867
3,5681,0.22066241251594146,0.005929052829742432
4,5130,0.04938912703120104,0.00015121698379516602
5,4439,0.1304042825697197,0.0005512833595275879
6,4390,0.07563167558049856,0.00028628110885620117
7,4293,0.053976687349889356,0.00015854835510253906
8,4259,0.06454142216387558,0.00040477514266967773
9,4247,0.04078351051465167,0.00015687942504882812
10,3952,0.04650744889377423,0.0002003312110900879
11,3748,0.3358832054011413,0.24936693906784058
12,3682,0.2729866390322832,0.21287992596626282
13,3226,0.09978982843196303,0.0004730224609375
14,2959,0.05615140775888181,0.0003000497817993164
15,2824,0.10859966960901606,0.0006973147392272949
16,2809,0.09705968360966777,0.0003693103790283203
17,2730,0.26128071875681574,0.17636558413505554
18,2581,0.0954996577984113,0.00037276744842529297
19,2496,0.16835794927163614,0.0005233883857727051
20,2401,0.05631348828021876,0.0003415346145629883
21,2144,0.09216940988513236,0.0004470944404602051
22,2094,0.04496862473148914,0.00017571449279785156
23,2059,0.05551672047471122,0.00026792287826538086
24,1990,0.30889303342010865,0.026229233480989933
25,1979,0.03452895923740063,0.00022011995315551758
26,1882,0.1890071299521656,0.003536313772201538
27,1838,0.22018441107822298,0.00241658091545105
28,1810,0.03725484765692066,0.00019365549087524414
29,1636,0.09995744447101093,0.00047725439071655273
30,1614,0.08051843671338589,0.0003555417060852051
31,1517,0.11998043500570402,0.0007182955741882324
32,1493,0.06317200579734149,0.0003567934036254883
33,1491,0.07192730998167066,0.00030612945556640625
34,1491,0.24890488763620705,0.013005197048187256
35,1482,0.17912290028151914,0.0006856918334960938
36,1390,0.050883387713990404,0.0002582073211669922
37,1385,0.039396922047386984,0.00013756752014160156
38,1370,0.20176351938410925,0.0028730928897857666
39,1349,0.1533991771225485,0.0006971359252929688
40,1319,0.07404113940516982,0.00042814016342163086
41,1314,0.077051683443069,0.00038880109786987305
42,1313,0.22862908025187073,0.004945278167724609
43,1310,0.08732219624287761,0.00040733814239501953
44,1287,0.1594239614552442,0.0010686516761779785
45,1280,0.43652273031658523,0.49362796545028687
46,1257,0.0686036300022086,0.00016820430755615234
47,1216,0.15297805794283417,0.0009587365493644029
48,1214,0.047332216251371184,0.00019997358322143555
49,1213,0.07961627149824203,0.00023239850997924805
50,1197,0.11022151696732335,0.0004646778106689453
51,1186,0.06379180876638278,0.0005309581756591797
52,1173,0.03651738299959727,0.0001347064971923828
53,1163,0.0839263744172571,0.0004032254219055176
54,1148,0.11274320475793831,0.0007086694240570068
55,1128,0.05442884402736713,0.0002340078353881836
56,1126,0.12836456295981066,0.0005913376808166504
57,1056,0.09937274999458279,0.000598609447479248
58,1049,0.09270540951131974,0.0001475811004638672
59,1049,0.07829789340640778,0.00016379356384277344
60,1034,0.07898209688656876,0.0004107356071472168
61,1021,0.056367505219338344,0.00036537647247314453
62,1005,0.08051869716971362,0.0004628896713256836
63,1000,0.046349792009801605,0.00023162364959716797
64,995,0.06854960236937654,0.0003447532653808594
65,964,0.1383679478000671,0.0008102059364318848
66,963,0.17557707807798784,0.0007907748222351074
67,950,0.05073754667237058,0.00017523765563964844
68,943,0.2756874847395375,0.062055349349975586
69,933,0.14821565842508558,0.0016149282455444336
70,927,0.08174909703766811,0.0003275871276855469
71,923,0.17450736989704202,0.0006553530693054199
72,911,0.05746135383476153,0.00021535158157348633
73,911,0.05907797557432803,0.0003046989440917969
74,909,0.14119363223229806,0.001340031623840332
75,908,0.04175190957421004,0.00016897916793823242
76,876,0.06491892606322108,0.00020271539688110352
77,853,0.0830860708873526,0.0002899765968322754
78,836,0.11374803551181129,0.000655829906463623
79,835,0.14562982215136874,0.0008548498153686523
80,829,0.062444739146085074,0.0001723766326904297
81,819,0.08427639125058994,0.00031936168670654297
82,805,0.12194260074601578,0.0008600950241088867
83,803,0.4106748273744514,0.47368548810482025
84,803,0.06843609045835425,0.000291287899017334
85,777,0.14934575081804927,0.000889122486114502
86,775,0.08820789268463775,0.0004157423973083496
87,764,0.09390248758505426,0.0006006956100463867
88,759,0.12413177489664186,0.0013609528541564941
89,744,0.07615704454503665,0.0003840327262878418
90,719,0.07875052967701954,0.0003325939178466797
91,707,0.10277068258890612,0.00046622753143310547
92,705,0.23586207333310666,0.11722022294998169
93,705,0.08218834152183468,0.0006049871444702148
94,693,0.1884998090841418,0.0024692416191101074
95,686,0.14816131719121042,0.001057446002960205
96,685,0.1431235779130561,0.00032699108123779297
97,678,0.21334604120754158,0.003066331148147583
98,670,0.15817174776889464,0.0006117820739746094
99,662,0.05851600250638803,0.00022226572036743164
100,655,0.06485342779667792,0.00032913684844970703
101,644,0.01944431494019408,0.00012934207916259766
102,640,0.06685946770203373,0.0005519986152648926
103,629,0.09497139241609505,0.0004998445510864258
104,626,0.0557243582224823,0.00028121471405029297
105,625,0.2282774233994074,0.0018894672393798828
106,621,0.11725571250978196,0.0008671879768371582
107,615,0.10111616844291481,0.0007003545761108398
108,610,0.07126797818362648,0.0002899169921875
109,606,0.14130447658505782,0.0007028486288618296
110,599,0.18749365211985905,0.0049697160720825195
111,595,0.14947711826652335,0.0008220076560974121
112,593,0.24903122704363434,0.007554113864898682
113,589,0.08616504392729252,0.00039893388748168945
114,581,0.031065254354728834,0.0001888871192932129
115,575,0.046683420091260065,0.0001361370086669922
116,571,0.11905180253732224,0.0005926548619754612
117,566,0.07033758294581874,0.0002842545509338379
