topic,n,mean,median
0,11814,0.10748285474207396,0.0006049871444702148
1,7586,0.06997934671472866,0.0003535151481628418
2,7659,0.10386835053995902,0.000491023063659668
3,8131,0.23751873848912736,0.04093289375305176
4,6854,0.05142548635044014,0.00015676021575927734
5,5879,0.14773870091808547,0.0006671547889709473
6,4532,0.0763407991146265,0.00028502941131591797
7,5690,0.05742816660520328,0.00016260147094726562
8,4423,0.06525309983175472,0.0004089474678039551
9,5677,0.04187324618691852,0.0001590251922607422
10,5006,0.05178056043513586,0.0002046823501586914
11,4943,0.3344094528498435,0.2492972985492088
12,5073,0.30063036659060954,0.24577516317367554
13,3283,0.09968785800427275,0.00047004222869873047
14,4357,0.06607072461329565,0.00034880638122558594
15,2961,0.10964100991415611,0.0007193684577941895
16,3971,0.10034757998999871,0.0003800392150878906
17,2867,0.2625458502331234,0.18790316581726074
18,3449,0.10432759989074782,0.00040024518966674805
19,3836,0.18531707385757257,0.0008515119552612305
20,2405,0.05664407497848768,0.00034165382385253906
21,2877,0.09003449065962217,0.00047397613525390625
22,2230,0.04350844805616068,0.00017511844635009766
23,2512,0.06200647914050307,0.00027805566787719727
24,2198,0.30379887392639526,0.022618502378463745
25,3034,0.037732038175797775,0.00022041797637939453
26,1970,0.19045297686029214,0.0038442015647888184
27,2357,0.22409082255061102,0.002730071544647217
28,1977,0.0388150623632448,0.00019699335098266602
29,2430,0.10906471169342664,0.0006390810012817383
30,1884,0.08789797875036877,0.00035887956619262695
31,1868,0.12238985828442726,0.0008132457733154297
32,1824,0.06490575877410663,0.0003744959831237793
33,1560,0.07041365999839633,0.00030612945556640625
34,1791,0.2385882246747105,0.008494913578033447
35,4769,0.17752090293561368,0.0008529424667358398
36,1623,0.04713157818411897,0.0002563595771789551
37,3268,0.052373957813806764,0.0001405477523803711
38,1717,0.209202450590325,0.0034846067428588867
39,1657,0.15650030738999499,0.0007797479629516602
40,3277,0.08924358527256529,0.00045627355575561523
41,1829,0.09255476587654655,0.0004361271858215332
42,2014,0.2625460661442312,0.07225486636161804
43,1771,0.09520557992632982,0.0004468560218811035
44,1368,0.16103657369883514,0.0010867714881896973
45,2067,0.4348608510932487,0.49417399521917105
46,1846,0.07630161437485058,0.000186920166015625
47,1435,0.15731777153561988,0.0011937966337427497
48,1333,0.051835247130156005,0.00020319223403930664
49,12511,0.09880986179546646,0.0002658963203430176
50,1212,0.11195152081956333,0.00046896083222236484
