topic_id,mezo_id,makro_id
0,8,2
1,6,2
2,7,2
3,23,6
4,23,6
5,1,1
6,10,2
7,23,6
8,6,2
9,23,6
10,22,6
11,23,6
12,23,6
13,22,6
14,6,2
15,6,2
16,1,1
17,1,1
18,24,6
19,23,6
20,24,6
21,11,3
22,1,1
23,22,6
24,22,6
25,18,5
26,9,2
27,22,6
28,23,6
29,6,2
30,25,6
31,2,1
32,4,1
33,22,6
34,6,2
35,14,4
36,18,5
37,21,6
38,15,5
39,22,6
40,21,6
41,12,3
42,1,1
43,12,3
44,4,1
45,23,6
46,23,6
47,9,2
48,25,6
49,22,6
50,24,6
51,20,5
52,22,6
53,20,5
54,24,6
55,25,6
56,1,1
57,10,2
58,14,4
59,14,4
60,17,5
61,22,6
62,4,1
63,21,6
64,17,5
65,6,2
66,22,6
67,13,4
68,1,1
69,7,2
70,25,6
71,1,1
72,14,4
73,17,5
74,2,1
75,23,6
76,15,5
77,25,6
78,2,1
79,6,2
80,23,6
81,25,6
82,5,1
83,13,4
84,12,3
85,10,2
86,12,3
87,11,3
88,8,2
89,5,1
90,4,1
91,12,3
92,8,2
93,25,6
94,5,1
95,1,1
96,15,5
97,1,1
98,17,5
99,18,5
100,25,6
101,21,6
102,8,2
103,19,5
104,19,5
105,13,4
106,11,3
107,4,1
108,12,3
109,15,5
110,10,2
111,1,1
112,5,1
113,7,2
114,22,6
115,13,4
116,1,1
117,16,5
118,23,6
119,23,6
120,12,3
121,21,6
122,25,6
123,11,3
124,12,3
125,17,5
126,3,1
127,25,6
128,6,2
129,12,3
130,23,6
131,1,1
132,11,3
133,17,5
134,1,1
135,17,5
136,3,1
137,4,1
138,3,1
139,12,3
140,1,1
141,15,5
142,22,6
143,18,5
144,17,5
145,16,5
146,14,4
147,5,1
148,20,5
149,21,6
150,15,5
151,21,6
152,1,1
153,25,6
154,7,2
155,15,5
156,20,5
157,15,5
158,16,5
159,17,5
160,6,2
161,4,1
162,12,3
163,10,2
164,12,3
165,4,1
166,12,3
167,15,5
168,25,6
169,12,3
170,15,5
171,15,5
172,20,5
173,5,1
174,1,1
175,16,5
176,20,5
177,23,6
178,7,2
179,19,5
180,15,5
181,17,5
182,2,1
183,25,6
184,17,5
185,11,3
186,12,3
187,22,6
188,20,5
189,12,3
190,12,3
191,22,6
192,18,5
193,12,3
194,11,3
195,24,6
196,11,3
197,5,1
198,21,6
199,7,2
200,12,3
201,23,6
202,23,6
203,7,2
204,25,6
205,9,2
206,15,5
207,6,2
208,19,5
209,23,6
210,23,6
211,22,6
212,10,2
213,22,6
214,21,6
215,21,6
216,5,1
217,15,5
218,3,1
219,10,2
220,10,2
221,1,1
222,1,1
223,20,5
224,15,5
225,13,4
226,4,1
227,15,5
228,1,1
229,8,2
230,15,5
231,15,5
232,25,6
233,17,5
234,22,6
235,19,5
236,19,5
237,1,1
238,15,5
239,17,5
240,23,6
241,23,6
242,7,2
243,12,3
244,22,6
245,18,5
246,9,2
247,12,3
248,15,5
249,14,4
