topic_id,n_total,n_lowrated,share_lowrated,llm_label,rank_by_count,rank_by_share
11,3748,1135,0.3028281750266809,feedback on quiz quality and access,1,5
3,5681,1078,0.1897553247667664,feedback on video length and structure,2,19
12,3682,609,0.16539923954372623,feedback on assignment quality and challenge,3,22
24,1990,594,0.2984924623115578,issues with certificate issuance and details,4,7
0,11452,553,0.04828850855745721,praise for Python beginner course,5,100
17,2730,532,0.19487179487179487,labs,6,18
45,1280,451,0.35234375,complaints about peer review effectiveness,7,2
2,7024,409,0.05822892938496583,praise for introductory data science course,8,82
19,2496,354,0.14182692307692307,mixed feedback on lecture clarity,9,26
26,1882,316,0.16790648246546228,positive feedback on R and GitHub integration,10,21
6,4390,248,0.05649202733485194,positive feedback on Excel course,11,86
13,3226,240,0.07439553626782393,enthusiasm for healthy cooking and recipes,12,65
126,507,235,0.4635108481262327,requests for updated IBM Watson Studio content,13,1
5,4439,229,0.05158819553953593,feedback on programming assignments challenges,14,91
83,803,225,0.28019925280199254,mixed feedback on course structure and pacing,15,8
27,1838,203,0.11044613710554951,feedback on exercise quality and quantity,16,37
34,1491,179,0.12005365526492287,request for more comprehensive tensorflow content,17,32
39,1349,173,0.12824314306893997,varying opinions on course effectiveness,18,30
42,1313,170,0.12947448591012947,requests for more coding practice,19,28
35,1482,168,0.11336032388663968,positive feedback on clear explanations,20,33
38,1370,154,0.11240875912408758,praise for Dr. Keith Devlin's teaching,21,35
68,943,151,0.16012725344644752,positive feedback on OS command learning,22,23
92,705,142,0.20141843971631207,praise for pandas course effectiveness,23,17
138,458,137,0.29912663755458513,praise for IBM Coursera courses,24,6
7,4293,136,0.03167947822035872,praise for great instructors,25,145
1,7203,128,0.01777037345550465,praise for Andrew Ng's teaching style,26,194
16,2809,128,0.04556781772872909,positive feedback for beginner courses,27,103
118,552,122,0.2210144927536232,concerns about slide quality and interactivity,28,12
74,909,119,0.13091309130913092,feedback on AWS Machine Learning courses,29,27
21,2144,119,0.05550373134328358,praise for corporate finance course,30,87
47,1216,115,0.09457236842105263,feedback on statistics course content,31,47
18,2581,112,0.04339403332041844,praise for English pronunciation improvement courses,32,107
10,3952,112,0.02834008097165992,praise for Coursera courses,33,155
4,5130,110,0.021442495126705652,praise for great teacher and course,34,182
136,469,103,0.21961620469083157,feedback on Jupyter Notebook usage issues,35,13
66,963,98,0.10176531671858775,praise for rewarding yet challenging course,36,42
9,4247,97,0.022839651518719094,praise for great professor and course,37,176
152,398,96,0.24120603015075376,feedback on Qwiklabs experience,38,10
15,2824,96,0.0339943342776204,praise for Andrew Ng's ML course,39,136
56,1126,95,0.08436944937833037,mixed reviews on beginner suitability,40,56
94,693,89,0.12842712842712842,mixed feedback on JavaScript content,41,29
212,270,89,0.3296296296296296,frustrations with GraphLab installation and support,42,3
71,923,87,0.09425785482123511,praise for course modules,43,49
95,686,84,0.12244897959183673,praise for Java course effectiveness,44,31
69,933,83,0.08896034297963558,praise for SQL course content,45,52
119,546,79,0.1446886446886447,course rating opinions,46,25
31,1517,77,0.05075807514831905,positive feedback on GCP course experience,47,94
33,1491,76,0.05097250167672703,praise for the best MOOC experience,48,93
234,230,75,0.32608695652173914,course duration and time commitment feedback,49,4
97,678,75,0.11061946902654868,positive feedback on Git and GitHub course,50,36
96,685,71,0.10364963503649635,positive feedback on course introduction,51,40
58,1049,69,0.0657769304099142,praise for course content quality,52,75
82,805,68,0.084472049689441,praise for SEO course effectiveness,53,55
8,4259,68,0.01596618924630195,positive feedback for AI course beginners,54,201
184,304,66,0.21710526315789475,issues with course discussion forums,55,15
44,1287,65,0.050505050505050504,praise for networking course content,56,95
111,595,64,0.10756302521008404,praise for the tools course,57,38
91,707,63,0.0891089108910891,feedback on personal branding strategies,58,51
78,836,62,0.07416267942583732,positive feedback on Google Cloud course,59,66
218,263,61,0.23193916349809887,notebook quality and functionality issues,60,11
203,276,60,0.21739130434782608,praise for data visualization skills,61,14
105,625,59,0.0944,mixed feedback on course difficulty,62,48
79,835,59,0.07065868263473053,praise for NLP and sequence models,63,71
195,284,59,0.20774647887323944,requests for Russian subtitles availability,64,16
85,777,58,0.07464607464607464,praise for intuitive linear algebra explanations,65,64
23,2059,56,0.027197668771248178,praise for online course quality,66,159
123,521,54,0.1036468330134357,praise for people analytics course,67,41
