T_id,Macro_rank,Macro_id,Macro_display,Macro_label,Meso_rank,Meso_id,Meso_display,Meso_label,Topic_ID,Label,N,Pct
T1,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,3,feedback on video length and structure,5681,2.407
T2,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,4,praise for great teacher and course,5130,2.174
T3,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,7,praise for great instructors,4293,1.819
T4,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,9,praise for great professor and course,4247,1.8
T5,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,11,feedback on quiz quality and access,3748,1.588
T6,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,12,feedback on assignment quality and challenge,3682,1.56
T7,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,19,mixed feedback on lecture clarity,2496,1.058
T8,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,28,praise for instructor Andrew Ng,1810,0.767
T9,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,45,complaints about peer review effectiveness,1280,0.542
T10,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,46,positive feedback on course experience,1257,0.533
T11,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,75,praise for instructor Andrew,908,0.385
T12,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,80,praise for lecturers and teaching quality,829,0.351
T13,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,118,concerns about slide quality and interactivity,552,0.234
T14,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,119,course rating opinions,546,0.231
T15,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,130,praise for Dr. Charles Severance,480,0.203
T16,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,177,praise for professor Laurie Santos,319,0.135
T17,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,201,praise for Professor Paul Bloom,279,0.118
T18,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,202,praise for course tutor,279,0.118
T19,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,209,praise for course presenters,272,0.115
T20,0,6,Macro 1,course experience and instructor appreciation,1,23,Meso 1,instructor and course feedback,210,praise for Professor Santos,271,0.115
