T_id,Topic_ID,N,Macro_id,Coder_A_label,rep_doc_1,rep_doc_2,rep_doc_3,rep_doc_4,rep_doc_5,Coder_B_verdict
T147,74,909,1,feedback on AWS Machine Learning courses,Good course for AWS Beginners,A very good introduction about AWS ML services,Great for benningers in AWS Machine Learning,,,accept
T133,107,615,1,praise for blockchain course quality,Great stater for blockchain study !!,Excellent course for blockchain knowledge!,A good course on Blockchain,,,accept
T134,137,462,1,praise for digital transformation insights,digital transformation is a must read for everyone...,Good enough to have a supercial approach on what is digital transformation. Thank you.,Thanks very much for this profund overview of digital transformation,,,accept
T152,138,458,1,praise for IBM Coursera courses,I really enjoyed learning during the course. Thank You IBM & Coursera.,I really enjoyed learning this course.Thank You IBM & Coursera.,"Unfortunately, this particular course dissonates a lot from the previous ones made by IBM on Coursera. The material is very poor, the narration is very fast (we're not all native English speakers!) and most of the time it doesn't match what we see on the screen. It's completely confusing, it's impossible to aprehend any information on these videos. The study case is far from a good example to be understood, it only makes the classes even more confusing than they are.The notebooks are of very poor interaction, and even the quizzes and exams are not pedagogic. I really felt very much frustrated with this particular course and I hope no other will be as bad as this one, as I felt I had just wasted time and money doing it. I really felt like I've learned nothing from it. Reading the ""IBMOpenSource_FoundationalMethologyforDataScience"" 3 times and then making an exam about it would be 10 times more effective learning than wasting hours on this terrible course.I am really shocked with the lack of quality of this particular course, comparing to the other which are simply amazing. Please, substitute this course ASAP for a good one, because I am sure it is lowering the overall quality perception of anyone who is following the 9 courses to reach the certificate.Sorry about the honesty, but it was very hard to go through this course. I am still shocked about the difference between this one and the others IBM has offered.Thanks!",,,reject
T143,173,327,1,praise for Google and its courses,"First of all I joined this course just in a wonder Oh it's Google's course and I successfully completed my first week and after that I took a break, which was definitely a long break from continuing this course and then the deadlines was approaching closer and closer. I started to learn from there. And it was getting interesting day by day. I finished my week 2 by 5 days and week 3 & 4 by a single day. Week 5 was gone in a FLASH and completed my week 6 TODAY!! THANK YOU GOOGLE and the MENTORS for this wonderful course","It is so marvellous to realise how capable I could be when I am being taught by trailblazers like Googlers themselves. The exercises are very helpful and they help me to stay alert and challenge my thinking about technology. I am very sure I am going to work hard to complete the course in the shortest time as possible. I cannot wait to recommend this program to my friends and family. Thank you, Google, very much for exposing or unearthing my technological talent because I never anticipated I could come to this far considering my background in technology. The courses are very insightful. I like the way Google has simplified complex tasks to the level of a novice like me.",One of the worst courses I've tried.DO NOT PAY FOR THIS!!Google is using their reputation to make money. The speakers are just reading information from a teleprompter. They seem more interested in their tight t shirts and muscles than actually teaching. Not to mention the numerous mistakes they make while reading; one would think Google went to a gym and picked up a bunch of people to read some tech stuff someone wrote in 5 minutes.There has been no effort put in to make this course a learning experience and that is evident within the first week of material itself. The courses on udemy are a million times better (literally) with instructors who are passionate about teaching (Check out Mike Meyers on Udemy). Thankfully I enrolled in this course with the 7 day trial period. Out I go. I still feel cheated because I invested my time and effort into really learning because I trusted Google to put out good lessons. Then I went onto Udemy and saw what good lessons actually were.WHAT A SCAM!,,,reject
T149,182,307,1,positive student experiences in cloud computing,Very Good Course for them who are interested in Cloud Computing.,"Previously,I know nothing about cloud computing.But now I know about cloud computing.",very interesting platform for cloud computing.,,,accept
T112,42,1313,1,requests for more coding practice,"A perfect course to get familiarized with coding. The instructors are just fantastic! They keep the course fresh with posting to the forums regularly and with holding live hangout sessions. There are also interview videos with professionals about interesting IT topics. The course videos are understandable and the topics are clearly formulated. The course helped me understand the foundations of coding, which two semesters of university courses could not accomplish. I am really satisfied with the knowledge I got and I will continue learning to code. I definitely recommend this course to anyone who wants to start a journey into the world of coding.","The course was pretty good for a beginner. The instructor was very clear and explained all the concepts in a very easy to grasp manner. However, the entire course could do with more coding exercises. Concepts such as joins, group, etc could be better understood if there were more exercises. Also, during the coding exercise (at the end of the week) it would be really helpful if correct answer and an explanation would have been provided. Having said that, its really good for beginners and I would and have recommended this to others.","I enjoyed this course, and the learning materials and instructor is great, but I felt that quite a bit that was covered (like the Twitter URL and API) required me to accept a number of principles/code that seemed to be a lot more complex than my beginner level could really engage with. When the assignments came we were given sample code that was 80-90% usable in our assignments. I did not feel like I was learning as much when I did not have to write my own code but just changed one or two lines...I also did not feel comfortable to attempt my own version as there were so much (given) code that I understood the reasons for but not really how to use it differently myself.",,,accept
T120,131,477,1,positive feedback on learning platform,It is a very good platform to learn :),it is a good platform to learn,very good platform to learn,,,accept
T107,246,204,2,feedback on basic statistics course,"Dr. Peng and colleagues communicate well and provide a reasonable overview of the R platform. I took this class hoping to take my reasonable prowess in Stata and bring it to R. The biggest gripe I have is that the course stuck almost entirely to how to program in R rather than how to perform statistics in R. Given that the historical purpose of R as described in the course was to start using it for statistics and then learn additional programming as you go, this approach to the course seemed a little backwards. I have a reasonable working understanding of R as a programming language but now I am on the lookout for a course that can let me apply my statistical knowledge to working in R.","This course was excellent, the teaching material top-notch and with excellent pedagogy. It's amazing that the course authors offer a statistics textbook almost exactly covering the course content for free. The idea to combine R and statistics is right on the money too, thanks to this one can learn 2 skills at the same time, with statistical analysis letting you practice coding in R and R helping you visualise your statistics. The lectures are divided into small, easy to absorb chunks and the teacher does an excellent job explaining the material, giving very good examples and analogies to help the students understand concepts. The exercises and assignments are fun to complete, and the course offers a flexibility in how much time you spend on it per week, e.g. there are non-mandatory exercises to do.","Best statistics course I've ever taken. So many Aha! moments I can't count them. I have struggled for years to understand and get the hang of statistics, at uni, with online courses and at work. With this course (and the following courses) I think I have finally gained a DEEPER understanding of some of the basic but very important concepts of statistics. Lots of detailed examples and no overly complicated maths gibberish (although still mathematically sound!). The R programming bits run in parallel to the statistics lectures and can be followed (necessary for a certificate) or can be ignored (if you only want to grasp the concepts), but are overall very easy to understand and follow. There is only little background to R as a programming language and the different types of data, lists, matrices etc. To me that's a good thing, as it allows you to use R right away (which in turn makes me more motivated to go back and learn more about R). I whole-heartedly recommend this to anyone who wants to understand and use statistics!",,,abstain
T85,92,705,2,praise for pandas course effectiveness,"Well, I was new to Python. And This course has great material and helps develop decent skills in working with Datafarmes, Series, and Pandas and Numpy libraries. Overall, I am happy with What I learned. But there are a couple IMPORTANT points to consider:1. The assignments requires a huge amount of self-study and it takes way more than the suggested time to complete. 2. The assignment grader may act up or be very picky on data types and do not credit you for the right answer3. The course can get very frustrating as the answer to the final question of assignment#4 determines whether you pass the course or not (it is 50% of the total grade!!). Although, you should be able to get to the right answer through the tips in the forum, it is really hard to figure out the solution on your own since there are many rooms for little mistakes which lead to the wrong answer.Suggestion: I think the questions should be designed in a way that there are small points for each step of the solution. So, We get to the solution step by step. Having 50% for just one final answer is not reasonable and makes it frustrating for the students.4. The course subscription is monthly and it makes it even more frustrating when you are stuck with a wrong answer that holds up course completion. I think where huge effort is required to pass the course, having a monthly subscription rather than one-time payment for the course, is not a good incentive at all, but it is very frustrating when you get close to the deadline and can't fix your code to get the answer. Finally, I want to thank Dr. Brooks and staff (specially Sophie) for the good course. I would like to sign up for the next course in this specialization. But I am debating since I don't want to get stuck with the unreasonable monthly subscription method and frustrating assignment grading system. Thanks,Ershad","IN SHORTThis was a great course and I learnt a lot! Topics covered include a quick reminder on intermediate python and lots on pandas and some numpy. The weeks 3 and 4 assignments are quite challenging so expect to spend considerably more time than indicated on the course site if you're not experienced with python and pandas. This course is not for coding newbies.IN DETAILI am proficient in R for data analysis and had dabbled with python before although had no experience with pandas. I was committed to learn the course material and to spend a substantial amount of time doing so. The speed of lectures is fast. I paused often to take notes and to try out the provided notebooks, and I returned to some of the videos when working on the assignments. I found the course assignments good and challenging. The lectures give a good tour of different functions and approaches you may want to use in the assignments, but there isn't much handholding with the assignments and you'll most likely spend quite of bit of time looking things up online in pandas docs and stackoverflow. If you're used to that and generally troubleshooting code, you'll probably be just fine. I spent much more time on the assignments than what is estimated on the site: ~5h for week 2 (vs 1.5h indicated), ~1 day for week 3 (vs 2h), and 2.5 days for week 4 (vs 4h).Week 1 gives a refresher on how to write functions, list comprehensions, and lambdas in python. If you're familiar with writing loops and functions in other languages, with this material you will get to writing them in python quickly if you invest a bit of time and effort. If you're not yet at the level of confidently writing functions, loops and vectorized alternatives in python or another language, I'd recommend starting with a different, more basic course because the learning curve with this one might be too steep.Week 2 gives the ins and outs of pandas including creating and querying pandas series and data frames.Week 3 covers merging data frames, grouping (groupby) with aggregation (agg), applying functions rowwise (apply), and pivoting data (pivot_table) etc. It also gives a whirlwind tour of date/time manipulation using pandas. numpy is also included.Week 4 has some lectures on distributions and more on numpy. The week consists mainly of the main project assignment where 50% of points are given on data cleaning and munging (contents of weeks 1-3) and the other 50% of points are on modelling and hypothesis testing. It's quite a proper project in the sense that you're given a number of non-clean data files scraped from different places and a hypothesis to test. There are some additional instructions on what format of cleaned data to produce from the different files and what type of test to perform, but for the rest you're on your own.","Very good content. One downside for me was that being new to Python, Pandas, Numpy, Scipy etc, I found the amount of new information being thrown at me to be a bit overwhelming. Each of these languages/packages could be a separate course even before you start talking about Data Analysis concepts. I was able to complete all the assignments, but I feel like I know ""just enough to be dangerous"".Speaking of the assignments, if you're a newbie like me, give yourself plenty of time to complete to work on them. My rule of thumb was to multiply the ""estimated time"" for each assignment by a factor of 4. The assignment that was supposed to take 2 hours ended up taking my whole Saturday and the 4 hour project at the end of the course pretty much consumed an entire weekend. This might not apply if you have previous experience in this development environment or are just smarter than me ;-) Not everything that you need to know to do the homework is provided in the lecture, so expect to spend a lot of time in StackOverflow. The discussion forums are also very useful. Sometimes a teaching assistant will offer some hints that make all the difference.One gripe I have is with the automated grader. It's a great idea, but sometimes you can submit a fairly complicated bit of code and the only feedback you get from the grader is: ""Wrong!"". My suggestion: have two data sets, one for testing and another for grading. Then students could openly discuss and debug their test results in the discussion forums without violating the Honor Code. They would still have to submit a valid algorithm to pass against the test data.",,,accept
